cve_id,year,cisa_kev,cvss_score,github_pocs,exploit_db,news_articles,emergency_patch,zero_day_confidence,exploitation_indicators,evidence_count
CVE-2023-28252,2023,True,7.8,0,2,3,True,0.5499999999999999,1,5
CVE-2023-3519,2023,True,9.8,1,2,3,True,0.95,1,6
CVE-2023-38408,2023,False,9.8,0,2,1,False,0.3,0,2
CVE-2023-20198,2023,True,10.0,2,2,3,True,0.95,1,6
CVE-2017-0144,2017,True,8.8,0,2,3,False,0.35,1,4
CVE-2022-22965,2022,True,9.8,5,2,3,False,0.55,1,5
CVE-2021-3156,2021,True,7.8,1,2,3,False,0.35,1,5
CVE-2021-34473,2021,True,9.1,0,2,3,False,0.55,1,4
CVE-2024-38077,2024,False,9.8,0,2,0,False,0.3,0,1
CVE-2022-31626,2022,False,7.5,0,2,1,False,0.3,0,2
CVE-2023-27350,2023,True,9.8,1,2,3,True,0.75,1,6
CVE-2022-1388,2022,True,9.8,9,2,3,False,0.35,1,5
CVE-2024-30078,2024,False,8.8,0,2,1,False,0.3,0,2
CVE-2024-21412,2024,True,8.1,0,2,3,True,0.95,1,5
CVE-2022-26134,2022,True,9.8,4,2,3,True,0.75,1,6
CVE-2024-3400,2024,True,10.0,0,2,3,True,0.5499999999999999,1,5
CVE-2023-32233,2023,False,7.8,0,2,0,False,0.3,0,1
CVE-2020-1472,2020,True,5.5,4,2,3,False,0.75,1,5
CVE-2023-35078,2023,True,9.8,1,2,3,False,0.55,1,5
CVE-2022-23131,2022,True,9.1,0,2,1,False,0.35,1,4
CVE-2021-26855,2021,True,9.1,2,2,3,False,0.55,1,5
CVE-2022-22047,2022,True,7.8,0,2,2,False,0.75,1,4
CVE-2022-41040,2022,True,8.8,1,2,3,False,0.75,1,5
CVE-2024-38014,2024,True,7.8,0,2,1,False,0.35,1,4
CVE-2022-30190,2022,True,7.8,5,2,3,True,0.95,1,6
CVE-2014-6271,2014,True,9.8,4,2,3,True,0.5499999999999999,1,6
CVE-2021-40539,2021,True,9.8,0,2,3,False,0.55,1,4
CVE-2024-43491,2024,False,9.8,0,2,1,False,0.3,0,2
CVE-2023-22515,2023,True,9.8,1,2,3,False,0.55,1,5
CVE-2023-29357,2023,True,9.8,0,2,3,False,0.55,1,4
CVE-2021-42287,2021,True,7.5,0,2,3,False,0.35,1,4
CVE-2023-23397,2023,True,9.8,1,2,3,True,0.75,1,6
CVE-2023-4966,2023,True,9.4,0,2,3,True,0.75,1,5
CVE-2024-28995,2024,True,8.6,1,2,3,True,0.5499999999999999,1,6
CVE-2012-0158,2012,True,8.8,0,2,3,False,0.35,1,4
CVE-2024-23397,2024,False,,0,2,3,True,0.7,0,3
CVE-2023-4911,2023,True,7.8,0,2,3,False,0.35,1,4
